business_id|name|categories|city|review_count|stars
gnKjwL_1w79qoiV3IC_xQQ|Musashi Japanese Restaurant|Sushi Bars, Restaurants, Japanese|Charlotte|170|4.0
HhyxOkGAM07SRYtlQ4wMFQ|Queen City Plumbing|Plumbing, Shopping, Local Services, Home Services, Kitchen & Bath, Home & Garden, Water Heater Installation/Repair|Charlotte|4|4.0
5t3KVdMnFgAYmSl1wYLhmA|The Kilted Buffalo Langtree|Bars, Nightlife, Pubs, Barbers, Beauty & Spas, Irish Pub|Mooresville|9|3.5
irft4YkdNsww4DNf_Aftew|So Cool Frozen Yogurt|Juice Bars & Smoothies, Food, Ice Cream & Frozen Yogurt|Charlotte|6|4.5
BvYU3jvGd0TJ7IyZdfiN2Q|Manzetti's Tavern|Sandwiches, Italian, American (Traditional), American (New), Seafood, Steakhouses, Restaurants|Charlotte|16|3.5
-l45pZ9izx2mo5RzX2PwMw|GiGi's Boutique Fine Consignment|Children's Clothing, Accessories, Used, Vintage & Consignment, Fashion, Women's Clothing, Shopping|Belmont|5|3.0
Qnz3ywR7BosTr8qDk6G-Pw|Mattress Firm Final Markdown|Home & Garden, Mattresses, Home Decor, Furniture Stores, Shopping|Charlotte|4|5.0
_J_x_RaYTqAqAuCwgRhnRQ|Kabob House|Coffee & Tea, Hookah Bars, Nightlife, Persian/Iranian, Country Dance Halls, Middle Eastern, Beer, Wine & Spirits, Bars, Restaurants, Food, Lounges, Delis|Charlotte|15|3.0
0KlYc--jcw4EOYdPS8CDQg|Cookie Cutters Haircuts for Kids|Beauty & Spas, Hair Salons, Kids Hair Salons|Charlotte|7|4.0
jtzU8hk78718cNWM_dMcDg|Gap|Men's Clothing, Sporting Goods, Shopping, Fashion, Women's Clothing, Sports Wear|Charlotte|3|3.5
sV6kKpzneWwQ8cY8gQ8bgA|Charlotte Mecklenburg Library - Beatties Ford Road Regional|Libraries, Educational Services, Education, Books, Mags, Music & Video, Shopping, Bookstores, Public Services & Government|Charlotte|5|4.0
